ID;AÑO;NT1_1;NT1_2;NT1_3;NT1_4;NT2_1;NT2_2;NT2_3;NT2_4;NT2_5;NT3;NT3_1;NT3_2;NT3_3;NT4_1;NT4_2;NT4_3;NT5_1;NT5_2;NT5_3;NT5_4;NT5_5;NT5_6;NT5_7;NT5_8;NT5_9;NT5_10;NT5_11;NT5_12;EDAD;SEXO;GRUPO_DE_EDAD;ZONA;PONDERA
97;2014;1;1;1;1;1;2;1;1;1;1;1;2; ;15;2;17;5;9;10; ; ; ; ; ; ; ; ; ;23;1;2;1;498.669111522442
107;2014;2;1;1;1;2;2;1;2;1;1;1;2; ;6;2;15;3;7;9;10; ; ; ; ; ; ; ; ;23;1;2;1;713.691572454137
109;2014;1;1;1;2;2;2;1;1;1;1;1;2;8;4;1;3;2;3;4;5;10;13; ; ; ; ; ; ;28;1;3;1;684.087139128033
111;2014;1;1;1;2;1;2;1;1;1;1;1;7;8;14;15;1;2;3;4;6;7;10; ; ; ; ; ; ;26;1;3;1;631.4650515028
114;2014;1;1;1;2;2;2;1;1;1;1;1; ; ;6;13;1;10; ; ; ; ; ; ; ; ; ; ; ;19;1;1;1;373.44807563413
115;2014;1;1;1;2;1;2;1;1;1;1;1; ; ;22;1;2;2;3;4;5; ; ; ; ; ; ; ; ;25;1;3;1;631.4650515028
117;2014;1;1;1;1;1;2;1;1;1;1;1;4;5;1;2;4;3;4;5;7;8;10;14; ; ; ; ; ;19;1;1;1;459.029926300285
118;2014;2;1;1;1;1;2;1;2;1;1;1;8; ;2;4;21;3;4;5;14; ; ; ; ; ; ; ; ;23;1;2;1;809.765437976809
122;2014;1;2;1;2;2;2;1;2;2;1;1;8; ;2;1; ;3;4;5;10;14; ; ; ; ; ; ; ;21;1;2;1;709.116626476867
123;2014;1;1;1;1;2;2;2;1;1;1;6;3; ;1;2; ;3;5;9;10;14; ; ; ; ; ; ; ;16;1;1;1;401.975359189515
124;2014;1;2;1;2;2;2;1;1;2;1;1; ; ;1;2;6;3;5;7;10;14; ; ; ; ; ; ; ;29;1;3;1;679.701965159264
128;2014;1;1;1;2;1;2;1;1;1;1;1;8; ;1;2;3;4;5;6;7;8;9;10; ; ; ; ; ;27;1;3;1;543.761572127411
132;2014;1;2;1;1;2;2;1;1;2;1;1; ; ;17;2;1;1;5;7; ; ; ; ; ; ; ; ; ;26;1;3;1;530.606050221103
134;2014;1;1;1;2;2;2;1;1;1;1;8; ; ;2;5;4;10; ; ; ; ; ; ; ; ; ; ; ;27;1;3;1;530.606050221103
137;2014;1;1;1;1;1;2;1;1;1;1;1; ; ;7;2; ;3;6;9; ; ; ; ; ; ; ; ; ;23;1;2;1;613.042760954194
145;2014;1;1;1;1;1;2;1;1;1;1;1;8;2;2;1;3;3;4;5;6;7;8;9;10; ; ; ; ;26;1;3;1;434.132222908175
148;2014;1;2;1;1;1;2;1;1;2;1;1;8; ;1;2;5;4;5;6;7;8;9;10; ; ; ; ; ;24;1;2;1;736.566302340487
165;2014;1;1;1;1;2;2;1;1;2;1;1; ; ;1;6;3;3;8;9; ; ; ; ; ; ; ; ; ;22;1;2;1;768.590924181378
168;2014;1;2;1;1;2;2;1;1;2;1;1;8; ;2;6;1;3;4;5;6;7;8;9;10; ; ; ; ;21;1;2;1;805.190491999539
169;2014;1;2;1;2;1;2;1;1;2;1;1;8; ;2;17;1;3;5;6;7;8;9;10; ; ; ; ; ;25;1;3;1;771.790618503422
178;2014;1;1;1;2;1;2;2;1;1;1;1;8; ;1;2; ;3;5;7;8;10; ; ; ; ; ; ; ;25;1;3;1;964.738273129278
179;2014;1;1;1;2;1;2;1;1;1;1;1; ; ;4;2;1;8;14; ; ; ; ; ; ; ; ; ; ;28;1;3;1;964.738273129278
187;2014;2;1;1;2;2;2;1;2;1;1;1;4;8;1;2;4;1;2;3;4;5;7;10;12;13;14;15; ;25;1;3;1;1404.12733957726
189;2014;1;1;1;2;1;1;1;1;1;1;1;2;8;4;2;21;3;4;7;10;12;14;15; ; ; ; ; ;18;1;1;1;830.400117413426
195;2014;1;1;1;1;1;2;1;1;1;1;1;8; ;1;6;4;3;4;5;7;10;14; ; ; ; ; ; ;24;1;2;1;1484.25191206341
196;2014;1;2;1;1;2;2;1;1;2;1;1;4; ;1;2; ;2;3;8;10;14; ; ; ; ; ; ; ;25;1;3;1;1484.53991849579
198;2014;2;1;1;2;2;2;1;2;1;1;1;8; ;2;1; ;1;2;3;4;5;7;8;10;13;14; ; ;29;1;3;1;1484.53991849579
201;2014;1;1;1;1;2;2;2;1;1;1;1; ; ;16;1;8;8;10; ; ; ; ; ; ; ; ; ; ;26;1;3;1;1762.89115321374
207;2014;1;1;1;1;1;2;1;1;1;1;1;2; ;2;4; ;7;10; ; ; ; ; ; ; ; ; ; ;24;1;2;1;1671.39671836705
213;2014;1;1;1;2;1;2;1;1;1;1;1;4;8;2;8;4;3;8;10; ; ; ; ; ; ; ; ; ;26;1;3;1;853.610453135076
214;2014;1;1;1;2;1;2;1;1;1;1;1;3;8;1;10;3;8;12;15; ; ; ; ; ; ; ; ; ;21;1;2;1;890.551147238043
217;2014;1;1;1;2;2;2;1;1;1;1;1; ; ;1;2; ;2;3;4;7;10; ; ; ; ; ; ; ;24;1;2;1;1994.06017751127
220;2014;1;1;1;2;2;2;1;2;2;1;1;6; ;5;2;12;1;2;3;4;5;6;7;8;9;10;15; ;22;1;2;1;1994.06017751127
221;2014;1;2;1;1;1;2;1;2;2;1;1;2;8;2;3; ;3;4;5;7;9;10;14; ; ; ; ; ;29;1;3;1;698.970878291765
222;2014;2;2;2;2;1;2;1;2;2;1;3;4;8;2;1;6;2;4;8;10;14; ; ; ; ; ; ; ;20;1;2;1;729.219417665934
227;2014;1;2;1;2;2;1;2;2;2;1;1;4; ;2;6; ;10;14; ; ; ; ; ; ; ; ; ; ;16;1;1;1;629.201851079776
229;2014;2;1;1;2;2;2;1;2;2;1;1; ; ;2;1;6;1;3;4;5;7;8;10; ; ; ; ; ;21;1;2;1;1109.96229945611
234;2014;2;1;1;2;1;2;1;2;1;1;1;2;8;2;3;2;2;7; ; ; ; ; ; ; ; ; ; ;29;1;3;1;612.372716379511
239;2014;1;2;2;2;2;2;1;1;1;1;1; ; ;2;3; ;2;4; ; ; ; ; ; ; ; ; ; ;27;1;3;1;494.846639498595
242;2014;1;1;1;1;2;2;1;1;1;1;1;2; ;1;2;5;2;5;6;10; ; ; ; ; ; ; ; ;25;1;3;1;1447.42642053339
246;2014;2;2;1;2;2;2;1;2;2;1;1;2;8;1;4;5;2;3;4;6;7;10; ; ; ; ; ; ;28;1;3;1;1045.36352594078
247;2014;1;1;1;2;2;2;1;2;2;1;1; ; ;1;2;6;2;4;7;10; ; ; ; ; ; ; ; ;20;1;2;1;1090.60249190746
250;2014;1;1;1;2;2;2;1;1;1;1;1; ; ;1;4;5;1;4; ; ; ; ; ; ; ; ; ; ;25;1;3;1;1045.36352594078
2;2014;1;1;1;1;1;2;1;1;1;1;1;5; ;1;2;3;1;2;3;4;5;7;9;10;11;12;14; ;15;1;1;1;140.67373801478
14;2014;1;1;1;2;1;2;1;1;1;1;1;8; ;2;4;1;1;2;3;4;5;7;8;9;10;11;13;14;23;1;2;1;617.966324099175
18;2014;1;1;1;2;2;2;1;2;1;1;1;4;8;3;1;4;1;2;3;4;5;7;8;9;10;11;14;15;15;1;1;1;422.021214044341
21;2014;2;1;1;1;2;2;1;2;1;1;1;4;8;1;4;6;1;2;3;4;5;7;9;10;11;12;14; ;20;1;2;1;827.199016510707
26;2014;1;2;1;2;2;2;2;1;2;1;1;4; ;1;6;2;10;13; ; ; ; ; ; ; ; ; ; ;18;1;1;1;697.852072896851
